男性が子供を抱き上げて立っています。	坊主頭の男性が子供を抱いて立っています。
テニスコートでプレイヤーがラケットを振っています。	白いウェアを着た女性テニス選手が芝生のテニスコートでラケットを振っています。
ベッドの上にある2台のノートパソコンと犬がいる。	2台のノート型パソコンが並んでいて間に犬が寝そべっています。
軍用飛行機の整備点検をしています。	停められている戦闘機の整備点検をしています。
停められている戦闘機のメンテナンスをしています。	屋外で戦闘機が整備点検されています。
芝生の上で、女性が座り携帯で電話をしています。	芝生の上に座り、女性が携帯電話で話しています。
小さな女の子がピンク色のベッドの上に寝転がっています。	ピンクのシーツが掛けられたベッドに、小さな女の子が寝転んで笑っています。
STOPと白い文字が書かれた赤い標識の後ろに白い車が止まっています。	白い車の手前に、STOPと描かれた大きな赤い標識がある。
屋外に便器がたくさん置かれています。	屋外に複数の便器が並べられています。
白い電車が駅のホームにとまっています。	駅のホームに白い電車が止まっています。
白い電車が駅のホームにとまっています。	駅のホームに白い電車が止まっています。
